Employee_ID,Age,Gender,Job_Role,Monthly_Income,Job_Satisfaction,Work_Life_Balance,Distance_From_Home_KM,Num_Projects,Avg_Monthly_Hours,Years_at_Company,Years_Since_Last_Promotion,Training_Times_Last_Year,Education_Level,Attrition_Risk_Level
EMP-00001,28,Male,Manager,5873,2,4,20.5,5,193.6,4,4,2,2,1
EMP-00002,45,Male,Data Scientist,11651,3,2,3.3,2,170.1,5,4,2,3,1
EMP-00003,44,Female,Software Engineer,8936,4,3,17.3,8,164.4,6,3,6,1,0
EMP-00004,22,Female,Data Scientist,6861,3,3,3.8,6,178.3,0,0,0,3,0
EMP-00005,23,Female,Data Scientist,6209,4,1,5.6,6,130.4,1,0,3,5,0
EMP-00006,21,Female,Sales Executive,4945,3,4,5.9,8,192.4,0,0,4,3,0
EMP-00007,49,Female,Data Scientist,10642,3,4,6.4,2,225.9,6,6,2,2,1
EMP-00008,35,Female,HR Specialist,10770,3,4,10.7,5,120.0,2,2,1,3,0
EMP-00009,34,Female,Analyst,7998,2,1,17.5,2,221.0,0,0,6,3,1
EMP-00010,39,Female,Sales Executive,6566,3,3,7.5,8,178.1,0,0,4,3,0
EMP-00011,27,Female,Sales Executive,6785,3,2,4.2,8,163.6,3,1,1,5,0
EMP-00012,33,Male,Manager,5940,2,1,16.4,6,245.9,4,0,2,3,2
EMP-00013,25,Female,HR Specialist,6480,1,3,5.5,3,194.0,1,1,5,2,1
EMP-00014,39,Male,Software Engineer,8236,2,3,3.7,7,189.4,15,2,6,4,1
EMP-00015,27,Female,Manager,7484,4,1,14.5,5,232.9,4,3,0,3,1
EMP-00016,37,Female,HR Specialist,10389,4,2,8.7,2,154.1,10,2,3,3,0
EMP-00017,43,Female,Sales Executive,10253,4,1,14.4,8,120.0,7,6,4,1,1
EMP-00018,34,Female,Manager,10636,2,4,16.8,3,250.0,4,0,4,3,1
EMP-00019,41,Female,Software Engineer,11217,2,1,5.8,2,145.3,0,0,2,3,0
EMP-00020,25,Male,Software Engineer,4903,4,3,7.6,5,123.1,3,1,3,1,0
EMP-00021,25,Female,Software Engineer,7419,1,2,7.3,8,126.6,1,0,0,2,1
EMP-00022,36,Female,Data Scientist,10888,2,3,7.2,3,163.8,2,0,4,3,0
EMP-00023,33,Female,Sales Executive,9369,3,3,25.7,8,176.0,1,1,0,4,0
EMP-00024,23,Female,Manager,7407,3,2,22.2,3,182.4,0,0,2,5,0
EMP-00025,31,Male,Analyst,8602,4,1,10.2,3,131.4,10,8,5,1,1
EMP-00026,44,Male,Sales Executive,8805,3,1,1.4,3,171.0,0,0,4,3,0
EMP-00027,29,Female,Data Scientist,9077,3,4,6.3,4,199.3,8,2,5,3,0
EMP-00028,35,Male,Software Engineer,9913,3,3,2.1,8,172.0,6,3,2,1,0
EMP-00029,31,Female,Manager,8760,2,4,4.4,5,177.5,7,7,2,4,1
EMP-00030,36,Female,Sales Executive,6928,4,2,6.6,2,181.8,0,0,3,3,0
EMP-00031,37,Female,Data Scientist,9533,2,3,12.3,8,132.7,9,0,2,5,0
EMP-00032,39,Male,Data Scientist,9550,4,2,9.9,7,175.7,15,5,4,1,1
EMP-00033,39,Male,Data Scientist,7538,4,3,2.4,3,195.0,16,6,4,2,1
EMP-00034,41,Male,Manager,8605,4,2,30.3,4,205.8,9,3,5,3,1
EMP-00035,38,Male,Data Scientist,7381,3,2,4.6,4,185.2,10,1,1,3,0
EMP-00036,36,Female,Manager,7237,3,3,33.4,5,178.9,13,5,4,3,1
EMP-00037,30,Female,Software Engineer,8354,3,3,19.6,5,184.6,7,2,3,3,0
EMP-00038,20,Male,HR Specialist,5387,4,2,3.1,5,163.2,0,0,3,3,0
EMP-00039,31,Male,Manager,6156,1,3,5.6,2,172.7,8,5,5,5,2
EMP-00040,28,Female,Analyst,6022,3,4,3.1,6,144.0,1,0,0,1,0
EMP-00041,29,Male,Manager,7795,2,2,2.5,3,193.1,8,6,5,3,2
EMP-00042,21,Female,Analyst,4881,2,3,16.2,3,158.4,0,0,2,4,0
EMP-00043,41,Female,HR Specialist,8461,2,4,11.5,5,179.7,17,5,6,2,1
EMP-00044,20,Female,Data Scientist,4414,3,3,18.5,7,190.1,0,0,1,5,0
EMP-00045,38,Male,Sales Executive,10351,2,3,15.5,7,128.9,3,0,0,2,0
EMP-00046,33,Male,HR Specialist,6329,4,3,5.2,4,186.8,2,0,4,2,0
EMP-00047,38,Female,Data Scientist,6790,4,1,10.4,3,144.2,8,7,5,3,1
EMP-00048,41,Female,Software Engineer,9514,3,2,9.6,3,209.5,17,16,1,2,2
EMP-00049,51,Female,Manager,9173,2,3,1.9,5,181.5,12,4,2,3,1
EMP-00050,45,Female,HR Specialist,8233,3,1,6.3,6,213.3,17,7,4,4,2
EMP-00051,43,Female,Analyst,9646,3,3,7.3,4,146.7,18,6,1,3,1
EMP-00052,46,Female,Analyst,10526,3,3,13.4,3,150.5,1,0,4,3,0
EMP-00053,35,Male,Software Engineer,9633,4,3,10.2,2,149.3,2,0,4,4,0
EMP-00054,35,Female,Analyst,6766,3,4,18.4,5,220.7,12,5,1,5,1
EMP-00055,31,Male,Manager,6044,4,2,8.9,3,188.2,10,8,0,2,2
EMP-00056,37,Female,Software Engineer,8366,4,3,25.9,7,202.7,3,0,6,3,0
EMP-00057,43,Female,Data Scientist,10783,3,1,22.8,3,211.8,3,1,1,4,1
EMP-00058,34,Male,HR Specialist,8853,4,3,4.3,4,146.6,7,6,3,5,0
EMP-00059,34,Female,Analyst,6194,3,2,1.4,7,159.8,2,2,1,4,0
EMP-00060,29,Male,Manager,8647,3,3,7.3,5,123.2,4,1,3,3,0
EMP-00061,47,Female,Data Scientist,11645,4,4,27.4,8,180.8,24,10,5,2,1
EMP-00062,35,Male,Data Scientist,9622,3,2,17.2,4,148.8,3,3,4,2,1
EMP-00063,39,Male,HR Specialist,8579,4,1,6.9,8,144.0,5,0,1,4,0
EMP-00064,33,Male,HR Specialist,6358,2,4,18.4,8,197.4,9,7,3,3,2
EMP-00065,38,Male,Sales Executive,11281,3,4,17.0,6,178.3,2,0,6,1,0
EMP-00066,20,Male,HR Specialist,3516,4,3,7.7,8,140.8,0,0,6,2,0
EMP-00067,36,Male,HR Specialist,9132,1,2,5.9,4,189.7,1,1,3,3,1
EMP-00068,30,Female,Manager,9973,3,3,6.1,8,205.9,3,1,6,4,0
EMP-00069,45,Female,Software Engineer,9180,4,1,6.8,3,192.0,24,1,6,2,0
EMP-00070,41,Female,Data Scientist,9748,3,3,17.6,4,202.1,14,4,5,3,1
EMP-00071,32,Female,Sales Executive,8487,3,3,3.8,2,228.1,7,6,1,2,1
EMP-00072,29,Male,Analyst,4691,4,3,28.0,3,227.4,8,2,3,2,1
EMP-00073,27,Male,Analyst,7315,4,3,2.9,7,161.1,4,0,0,4,0
EMP-00074,39,Male,Sales Executive,8252,4,2,6.3,5,175.4,16,12,3,2,2
EMP-00075,29,Female,HR Specialist,8566,2,1,5.2,8,181.9,8,1,5,4,1
EMP-00076,48,Female,Software Engineer,7911,2,3,17.3,4,183.8,24,10,1,1,2
EMP-00077,26,Male,Analyst,7308,4,2,15.8,7,223.5,4,1,1,2,1
EMP-00078,29,Male,Manager,5434,4,3,10.9,3,208.6,6,1,4,1,0
EMP-00079,26,Male,Analyst,7330,3,3,3.6,8,168.6,3,0,5,3,0
EMP-00080,23,Male,HR Specialist,7313,2,1,6.7,2,133.1,0,0,2,4,1
EMP-00081,38,Female,Software Engineer,9244,1,2,4.7,6,198.7,14,1,6,3,1
EMP-00082,28,Female,Manager,5961,3,3,10.7,4,176.5,0,0,6,5,0
EMP-00083,44,Female,Software Engineer,9919,3,4,12.1,8,143.8,17,8,1,5,1
EMP-00084,35,Female,Sales Executive,6619,4,2,8.0,7,215.4,1,0,0,3,0
EMP-00085,20,Male,Analyst,6573,3,4,4.7,4,165.8,0,0,5,2,0
EMP-00086,28,Male,Manager,6902,2,3,2.6,4,150.9,0,0,5,3,0
EMP-00087,34,Female,HR Specialist,7559,2,2,7.3,6,154.1,3,3,5,4,1
EMP-00088,44,Male,HR Specialist,9315,3,3,9.9,5,157.7,20,6,6,2,1
EMP-00089,30,Female,Analyst,5531,3,4,11.2,6,177.8,9,5,2,5,1
EMP-00090,32,Male,Data Scientist,9197,3,4,13.4,7,212.6,6,0,1,5,0
EMP-00091,22,Female,Software Engineer,6460,1,1,5.2,4,146.4,0,0,2,3,1
